experiment,well_name,process,Gene,parent_plate,parent_well,orig_exp
DC_RAB32_2,A1,miseq_no_template,RAB32_2,Miseq_011_FP,A1,DC_RAB32_2
DC_RAB32_2,B1,miseq_no_template,RAB32_2,Miseq_011_FP,B1,DC_RAB32_2
DC_RAB32_2,C1,miseq_no_template,RAB32_2,Miseq_011_FP,C1,DC_RAB32_2
DC_RAB32_2,D1,miseq_no_template,RAB32_2,Miseq_011_FP,D1,DC_RAB32_2
DC_RAB32_2,E1,miseq_no_template,RAB32_2,Miseq_011_FP,E1,DC_RAB32_2
DC_RAB32_2,F1,miseq_no_template,RAB32_2,Miseq_011_FP,F1,DC_RAB32_2
DC_RAB32_2,G1,miseq_no_template,RAB32_2,Miseq_011_FP,G1,DC_RAB32_2
DC_RAB32_2,H1,miseq_no_template,RAB32_2,Miseq_011_FP,H1,DC_RAB32_2
DC_RAB32_2,A2,miseq_no_template,RAB32_2,Miseq_011_FP,A2,DC_RAB32_2
DC_RAB32_2,B2,miseq_no_template,RAB32_2,Miseq_011_FP,B2,DC_RAB32_2
DC_RAB32_2,C2,miseq_no_template,RAB32_2,Miseq_011_FP,C2,DC_RAB32_2
DC_RAB32_2,D2,miseq_no_template,RAB32_2,Miseq_011_FP,D2,DC_RAB32_2
DC_RAB32_2,E2,miseq_no_template,RAB32_2,Miseq_011_FP,E2,DC_RAB32_2
DC_RAB32_2,F2,miseq_no_template,RAB32_2,Miseq_011_FP,F2,DC_RAB32_2
DC_RAB32_2,G2,miseq_no_template,RAB32_2,Miseq_011_FP,G2,DC_RAB32_2
DC_RAB32_2,H2,miseq_no_template,RAB32_2,Miseq_011_FP,H2,DC_RAB32_2
DC_RAB32_2,A3,miseq_no_template,RAB32_2,Miseq_011_FP,A3,DC_RAB32_2
DC_RAB32_2,B3,miseq_no_template,RAB32_2,Miseq_011_FP,B3,DC_RAB32_2
DC_RAB32_2,C3,miseq_no_template,RAB32_2,Miseq_011_FP,C3,DC_RAB32_2
DC_RAB32_2,D3,miseq_no_template,RAB32_2,Miseq_011_FP,D3,DC_RAB32_2
DC_RAB32_2,E3,miseq_no_template,RAB32_2,Miseq_011_FP,E3,DC_RAB32_2
DC_RAB32_2,F3,miseq_no_template,RAB32_2,Miseq_011_FP,F3,DC_RAB32_2
DC_RAB32_2,G3,miseq_no_template,RAB32_2,Miseq_011_FP,G3,DC_RAB32_2
DC_RAB32_2,H3,miseq_no_template,RAB32_2,Miseq_011_FP,H3,DC_RAB32_2
DC_RAB32_2,A4,miseq_no_template,RAB32_2,Miseq_011_FP,A4,DC_RAB32_2
DC_RAB32_2,B4,miseq_no_template,RAB32_2,Miseq_011_FP,B4,DC_RAB32_2
DC_RAB32_2,C4,miseq_no_template,RAB32_2,Miseq_011_FP,C4,DC_RAB32_2
DC_RAB32_2,D4,miseq_no_template,RAB32_2,Miseq_011_FP,D4,DC_RAB32_2
